StateDesc,CountyName,FOODINSECU_CrudePrev,BPHIGH_CrudePrev,DEPRESSION_CrudePrev,DIABETES_CrudePrev
Alaska,Dillingham,25.1,30.450000000000003,22.4,12.4
Alaska,Fairbanks North Star,11.8,27.854545454545452,21.113636363636363,8.090909090909092
Alaska,Haines,9.6,36.0,19.7,10.3
Alaska,Hoonah-Angoon,16.9,38.1,19.3,13.8
Alaska,Juneau,10.65,29.21666666666667,19.900000000000002,8.566666666666666
Alaska,Kenai Peninsula,12.721428571428572,35.57142857142857,22.542857142857144,10.528571428571428
Alaska,Ketchikan Gateway,11.760000000000002,30.82,20.72,9.76
Alaska,Kodiak Island,13.7,28.48,18.380000000000003,9.52
Alaska,Kusilvak,46.9,36.1,26.2,15.4
Alaska,Lake and Peninsula,25.0,30.4,22.4,12.1
Alaska,Matanuska-Susitna,13.241666666666667,33.25,23.504166666666666,9.904166666666667
